,Instrument,Original Yield Maturity
0,DK0009412553,
1,XS2606261597,4.528
2,XS2606264005,4.071
3,XS2626288257,4.566
4,XS2626691906,
5,XS2626344266,3.758
6,XS2626343375,3.678
7,XS2625194811,4.677
8,FR001400I2W5,3.121
9,XS2626022656,3.437
10,DE000BHY0GT7,2.99
11,XS2625985945,4.553
12,XS2625968347,3.358
13,XS2625968776,3.633
14,XS2623956773,4.312
15,XS2625968693,3.255
16,XS2624977554,
17,XS2623957078,3.63
18,XS2624976077,
19,FR001400I3C5,3.47
20,XS2625136531,4.072
21,XS2590758822,4.311
22,XS2623868994,3.792
23,FR001400HX73,
24,FR001400HX81,
25,XS2621830848,3.137
26,FR001400I145,3.373
27,XS2624502105,3.088
28,AT0000A34D99,3.292
29,XS2590758665,3.968
30,XS2590758400,3.604
31,DE000A351TP5,3.188
32,ES0365936048,5.63
33,DE000A351NR4,3.179
34,DE000A351TJ8,3.138
35,XS2623820953,3.347
36,AT0000A34CR4,3.266
37,DE000A3LHK72,4.141
38,FR001400HZD5,
39,XS2621812192,3.443
40,XS2618731256,
41,FR001400HU68,3.807
42,XS2619751576,3.898
43,XS2618499177,3.849
44,XS2618690981,4.239
45,XS2599156192,5.561
46,XS2618704014,3.458
47,XS2613162424,3.769
48,FR001400HQM5,4.079
49,XS2618711068,
50,XS2617442525,4.28
51,XS2617457127,4.679
52,FR001400HOZ2,4.02
53,XS2617456582,4.48
54,XS2616008541,3.777
55,CH1251998238,4.846
56,XS2617508481,3.354
57,XS2616008970,3.841
58,DE000LB386A8,3.332
59,XS2617256149,3.286
60,XS2617256065,3.307
61,XS2613209670,4.443
62,XS2615940215,4.579
63,FR001400HMF8,4.468
64,XS2615271629,5.015
65,XS2611221032,
66,XS2614623978,4.225
67,XS2615559130,
68,XS2610209129,3.87
69,XS2610788569,3.939
70,DE000MHB34J3,3.169
71,FR001400HJE7,3.402
72,XS2615183501,3.722
73,FR001400HCM5,3.31
74,XS2607193435,3.761
75,DE000CZ43ZX7,3.132
76,XS2613658470,3.805
77,XS2613472963,4.31
78,XS2613838296,3.213
79,XS2613658710,4.391
80,AT0000A33N23,3.292
81,DE000BLB6JV5,3.025
82,FR001400HF42,3.23
83,FI4000466412,-0.274
84,PTBSPAOM0008,3.481
85,XS2613159719,3.346
86,FR001400H9H2,3.135
87,FR001400HAC0,3.754
88,AT0000A33MP9,3.154
89,DE000A3MQU11,3.113
90,FR001400H9B5,4.358
91,FR001400H8X1,3.282
92,FR001400H8D3,4.311
93,FR001400H5F4,3.441
94,XS2608828641,4.611
95,XS2606297864,4.011
96,XS2606993694,3.457
97,XS2607381436,4.273
98,XS2607040958,4.256
99,XS2603552014,3.629
100,XS2605914105,3.907
101,XS2607781882,3.192
102,XS2607350985,3.386
103,XS2607079493,3.437
104,XS2607344079,3.13
105,FR001400H2O3,4.55
106,XS2604699327,4.277
107,XS2604697891,3.963
108,XS2596458591,4.317
109,CH1255915014,
110,XS2599730822,3.94
111,XS2599731473,3.95
112,CH1255915006,
113,XS2599779597,4.258
114,FR001400GM85,3.514
115,XS2598649254,3.95
116,XS2599169922,4.194
117,XS2597768485,4.311
118,XS2597991988,4.613
119,XS2598332133,4.344
120,XS2597919013,3.651
121,XS2597973812,4.256
122,AT000B122155,4.859
123,XS2597905905,3.831
124,XS2597740476,4.109
125,FI4000549605,3.706
126,DE000HCB0BS6,4.903
127,XS2597110027,4.43
128,FI4000549548,3.882
129,XS2597677090,4.385
130,XS2596528716,3.985
131,XS2595410775,3.609
132,XS2595412631,3.819
133,XS2597408272,3.715
134,FR001400GI73,3.498
135,XS2597408439,3.879
136,XS2597093009,4.086
137,XS2596599147,4.623
138,BE0002925064,4.101
139,XS2592240712,4.933
140,XS2595029344,3.734
141,XS2595418596,4.276
142,XS2595417945,4.359
143,XS2595418679,4.515
144,DE000BHY0JY1,3.382
145,XS2595418166,4.103
146,XS2595418323,4.049
147,XS2595036554,4.098
148,DE000A162BJ7,4.511
149,XS2594025814,4.973
150,XS2593105393,3.627
151,XS2593105476,3.751
152,XS2591032235,4.198
153,XS2591026856,3.678
154,XS2591029876,3.872
155,NL0015001BV1,3.344
156,FR001400G6Y4,4.732
157,XS2592234749,
158,XS2591848275,3.39
159,XS2591848192,3.57
